Date,Close
2018-04-04,379.62
2018-04-05,378.15
2018-04-06,370.2
2018-04-07,389.01
2018-04-08,412.01
2018-04-09,399.87
2018-04-10,412.64
2018-04-11,435.99
2018-04-12,490.41
2018-04-13,508.0
2018-04-14,512.23
2018-04-15,518.03
2018-04-16,507.22
2018-04-17,506.79
2018-04-18,536.0
2018-04-19,574.06
2018-04-20,607.82
2018-04-21,600.87
2018-04-22,635.21
2018-04-23,668.78
2018-04-24,656.19
2018-04-25,617.2
2018-04-26,649.9
2018-04-27,665.89
2018-04-28,693.53
2018-04-29,676.0
2018-04-30,640.0
2018-05-01,671.78
2018-05-02,714.03
2018-05-03,766.51
2018-05-04,800.0
2018-05-05,817.0
2018-05-06,754.64
2018-05-07,769.52
2018-05-08,719.0
2018-05-09,756.05
2018-05-10,731.38
2018-05-11,676.34
2018-05-12,681.34
2018-05-13,695.97
2018-05-14,727.0
2018-05-15,681.16
2018-05-16,710.01
2018-05-17,670.17
2018-05-18,694.47
2018-05-19,702.3
2018-05-20,709.87
2018-05-21,688.18
2018-05-22,639.42
2018-05-23,595.0
2018-05-24,602.65
2018-05-25,585.88
2018-05-26,581.3
2018-05-27,571.27
2018-05-28,525.0
2018-05-29,569.99
2018-05-30,563.13
2018-05-31,573.16
2018-06-01,575.85
2018-06-02,592.34
2018-06-03,617.73
2018-06-04,582.44
2018-06-05,603.91
2018-06-06,614.96
2018-06-07,601.85
2018-06-08,606.82
2018-06-09,570.46
2018-06-10,532.55
2018-06-11,526.2
2018-06-12,498.0
2018-06-13,485.04
2018-06-14,512.81
2018-06-15,491.86
2018-06-16,507.88
2018-06-17,493.58
2018-06-18,514.7
2018-06-19,520.37
2018-06-20,541.89
2018-06-21,541.89
2018-06-22,465.92
2018-06-23,467.1
2018-06-24,450.36
2018-06-25,457.96
2018-06-26,427.2
2018-06-27,430.92
2018-06-28,421.1
2018-06-29,446.81
2018-06-30,451.0
2018-07-01,448.9
2018-07-02,479.81
2018-07-03,457.21
2018-07-04,469.75
2018-07-05,466.64
2018-07-06,466.64
2018-07-07,482.48
2018-07-08,481.97
2018-07-09,459.17
2018-07-10,432.69
2018-07-11,440.95
2018-07-12,437.95
2018-07-13,437.95
2018-07-14,430.04
2018-07-15,447.02
2018-07-16,478.87
2018-07-17,505.89
2018-07-18,474.88
2018-07-19,464.9
2018-07-20,455.95
2018-07-21,460.28
2018-07-22,464.57
2018-07-23,449.6
2018-07-24,478.73
2018-07-25,475.35
2018-07-26,462.87
2018-07-27,462.87
2018-07-28,462.87
2018-07-29,464.18
2018-07-30,450.57
2018-07-31,416.6
2018-08-01,420.6
2018-08-02,420.6
2018-08-03,420.6
2018-08-04,408.08
2018-08-05,410.85
2018-08-06,404.8
2018-08-07,376.74
2018-08-08,358.87
2018-08-09,360.32
2018-08-10,360.32
2018-08-11,318.5
2018-08-12,319.83
2018-08-13,267.72
2018-08-14,285.63
2018-08-15,281.45
2018-08-16,297.48
2018-08-17,312.64
2018-08-18,291.3
2018-08-19,300.79
2018-08-20,276.26
2018-08-21,291.68
2018-08-22,271.54
2018-08-23,273.8
2018-08-24,280.4
2018-08-25,271.31
2018-08-26,272.17
2018-08-27,283.45
2018-08-28,291.15
2018-08-29,286.73
2018-08-30,280.54
2018-08-31,288.11
2018-09-01,296.34
2018-09-02,291.82
2018-09-03,287.81
2018-09-04,284.18
2018-09-05,227.44
2018-09-06,230.25
2018-09-07,216.22
2018-09-08,188.94
2018-09-09,188.94
2018-09-10,195.0
2018-09-11,176.81
2018-09-12,189.54
2018-09-13,218.74
2018-09-14,218.74
2018-09-15,213.83
2018-09-16,222.93
2018-09-17,194.03
2018-09-18,212.64
2018-09-19,208.84
2018-09-20,222.68
2018-09-21,240.8
2018-09-22,238.69
2018-09-23,244.75
2018-09-24,220.89
2018-09-25,209.18
2018-09-26,217.42
2018-09-27,229.31
2018-09-28,229.31
2018-09-29,230.98
2018-09-30,232.55
2018-10-01,229.4
2018-10-02,217.0
2018-10-03,223.72
2018-10-04,219.74
2018-10-05,224.93
2018-10-06,224.13
2018-10-07,223.59
2018-10-08,227.79
2018-10-09,224.23
2018-10-10,201.76
2018-10-11,193.73
2018-10-12,193.73
2018-10-13,195.85
2018-10-14,192.49
2018-10-15,202.67
2018-10-16,205.86
2018-10-17,204.6
2018-10-18,199.43
2018-10-19,199.43
2018-10-20,200.73
2018-10-21,201.68
2018-10-22,200.22
2018-10-23,201.5
2018-10-24,199.35
2018-10-25,199.44
2018-10-26,201.06
2018-10-27,201.17
2018-10-28,202.06
2018-10-29,194.41
2018-10-30,195.18
2018-10-31,196.18
2018-11-01,198.47
2018-11-02,198.94
2018-11-03,198.24
2018-11-04,207.24
2018-11-05,207.27
2018-11-06,219.53
2018-11-07,212.0
2018-11-08,211.44
2018-11-09,208.36
2018-11-10,209.87
2018-11-11,209.89
2018-11-12,206.75
2018-11-13,203.95
2018-11-14,175.86
2018-11-15,178.41
2018-11-16,171.48
2018-11-17,174.53
2018-11-18,169.66
2018-11-19,146.81
2018-11-20,131.27
2018-11-21,134.98
2018-11-22,121.92
2018-11-23,123.31
2018-11-24,103.26
2018-11-25,113.89
2018-11-26,104.11
2018-11-27,110.88
2018-11-28,116.05
2018-11-29,117.79
2018-11-30,111.6
2018-12-01,116.67
2018-12-02,112.03
2018-12-03,107.1
2018-12-04,106.02
2018-12-05,100.51
2018-12-06,83.78
2018-12-07,93.05
2018-12-08,90.12
2018-12-09,92.4
2018-12-10,88.76
2018-12-11,86.62
2018-12-12,88.37
2018-12-13,85.24
2018-12-14,83.98
2018-12-15,85.82
2018-12-16,84.12
2018-12-17,94.93
2018-12-18,103.5
2018-12-19,100.31
2018-12-20,114.24
2018-12-21,107.01
2018-12-22,128.81
2018-12-23,150.1
2018-12-24,124.36
2018-12-25,133.5
2018-12-26,125.99
2018-12-27,114.27
2018-12-28,135.0
2018-12-29,132.82
2018-12-30,135.24
2018-12-31,130.83
2019-01-01,139.17
2019-01-02,152.7
2019-01-03,151.52
2019-01-04,158.73
2019-01-05,151.48
2019-01-06,154.81
2019-01-07,147.98
2019-01-08,151.97
2019-01-09,149.57
2019-01-10,127.19
2019-01-11,126.85
2019-01-12,124.57
2019-01-13,117.22
2019-01-14,128.24
2019-01-15,120.36
2019-01-16,120.48
2019-01-17,121.8
2019-01-18,120.33
2019-01-19,123.2
2019-01-20,116.76
2019-01-21,116.54
2019-01-22,118.45
2019-01-23,115.09
2019-01-24,116.2
2019-01-25,115.57
2019-01-26,114.83
2019-01-27,107.46
2019-01-28,103.98
2019-01-29,104.29
2019-01-30,108.65
2019-01-31,104.36
2019-02-01,106.33
2019-02-02,108.65
2019-02-03,105.85
2019-02-04,105.83
2019-02-05,102.11
2019-02-06,104.03
2019-02-07,103.49
2019-02-08,117.1
2019-02-09,117.86
2019-02-10,119.28
2019-02-11,119.19
2019-02-12,121.94
2019-02-13,121.8
2019-02-14,120.53
2019-02-15,121.38
2019-02-16,122.08
2019-02-17,136.73
2019-02-18,145.52
2019-02-19,141.61
2019-02-20,147.0
2019-02-21,145.0
2019-02-22,146.22
2019-02-23,163.61
2019-02-24,137.9
2019-02-25,137.55
2019-02-26,135.21
2019-02-27,135.57
2019-02-28,135.62
2019-03-01,134.77
2019-03-02,133.14
2019-03-03,128.2
2019-03-04,125.33
2019-03-05,134.87
2019-03-06,138.51
2019-03-07,135.17
2019-03-08,133.72
2019-03-09,135.74
2019-03-10,135.28
2019-03-11,129.46
2019-03-12,132.27
2019-03-13,131.09
2019-03-14,132.23
2019-03-15,138.81
2019-03-16,137.29
2019-03-17,139.58
2019-03-18,137.13
2019-03-19,136.94
2019-03-20,138.4
2019-03-21,134.62
2019-03-22,136.55
2019-03-23,136.01
2019-03-24,135.61
2019-03-25,133.37
2019-03-26,136.14
2019-03-27,137.96
2019-03-28,137.99
2019-03-29,143.08
2019-03-30,141.1
2019-03-31,142.7
2019-04-01,141.32
2019-04-02,173.08
2019-04-03,160.06
2019-04-04,157.31
2019-04-05,163.62
2019-04-06,167.38
2019-04-07,182.38
2019-04-08,177.82
2019-04-09,179.64
2019-04-10,170.14
2019-04-11,164.61
2019-04-12,165.82
2019-04-13,163.0
2019-04-14,167.86
2019-04-15,161.03
2019-04-16,166.79
2019-04-17,172.66
2019-04-18,171.71
2019-04-19,174.59
2019-04-20,173.84
2019-04-21,168.59
2019-04-22,172.41
2019-04-23,169.97
2019-04-24,164.0
2019-04-25,152.96
2019-04-26,153.73
2019-04-27,155.46
2019-04-28,154.05
2019-04-29,154.57
2019-04-30,160.49
2019-05-01,158.72
2019-05-02,159.26
2019-05-03,164.56
2019-05-04,162.45
2019-05-05,159.25
2019-05-06,178.05
2019-05-07,166.83
2019-05-08,170.77
2019-05-09,170.49
2019-05-10,175.95
2019-05-11,193.94
2019-05-12,188.97
2019-05-13,209.15
2019-05-14,229.99
2019-05-15,269.92
2019-05-16,238.72
2019-05-17,243.93
2019-05-18,253.12
2019-05-19,255.32
2019-05-20,251.7
2019-05-21,256.23
2019-05-22,243.5
2019-05-23,245.0
2019-05-24,252.22
2019-05-25,248.86
2019-05-26,269.04
2019-05-27,271.31
2019-05-28,268.46
2019-05-29,283.03
2019-05-30,253.03
2019-05-31,269.74
2019-06-01,265.88
2019-06-02,268.94
2019-06-03,243.71
2019-06-04,242.14
2019-06-05,247.19
2019-06-06,246.41
2019-06-07,247.51
2019-06-08,242.11
2019-06-09,234.63
2019-06-10,245.39
2019-06-11,248.91
2019-06-12,259.61
2019-06-13,253.93
2019-06-14,264.8
2019-06-15,271.73
2019-06-16,270.85
2019-06-17,271.03
2019-06-18,265.77
2019-06-19,270.16
2019-06-20,280.35
2019-06-21,303.5
2019-06-22,313.56
2019-06-23,302.06
2019-06-24,310.58
2019-06-25,331.02
2019-06-26,334.85
2019-06-27,294.25
2019-06-28,294.59
2019-06-29,319.01
2019-06-30,298.5
2019-07-01,298.5
2019-07-02,295.1
2019-07-03,298.23
2019-07-04,285.45
2019-07-05,294.21
2019-07-06,287.59
2019-07-07,305.42
2019-07-08,315.32
2019-07-09,311.38
2019-07-10,283.31
2019-07-11,268.23
2019-07-12,273.0
2019-07-13,268.76
2019-07-14,222.48
2019-07-15,227.81
2019-07-16,197.95
2019-07-17,212.75
2019-07-18,222.83
2019-07-19,227.1
2019-07-20,224.5
2019-07-21,226.05
2019-07-22,216.43
2019-07-23,204.59
2019-07-24,222.4
2019-07-25,214.76
2019-07-26,222.66
2019-07-27,207.4
2019-07-28,212.33
2019-07-29,206.72
2019-07-30,212.11
2019-07-31,214.12
2019-08-01,216.03
2019-08-02,222.29
2019-08-03,219.64
2019-08-04,229.72
2019-08-05,228.4
2019-08-06,226.3
2019-08-07,225.49
2019-08-08,217.33
2019-08-09,211.51
2019-08-10,210.48
2019-08-11,213.88
2019-08-12,209.74
2019-08-13,207.75
2019-08-14,183.86
2019-08-15,186.76
2019-08-16,184.32
2019-08-17,184.0
2019-08-18,196.3
2019-08-19,198.25
2019-08-20,190.7
2019-08-21,184.32
2019-08-22,191.9
2019-08-23,192.63
2019-08-24,190.12
2019-08-25,190.62
2019-08-26,185.83
2019-08-27,185.23
2019-08-28,169.43
2019-08-29,167.87
2019-08-30,169.24
2019-08-31,173.0
2019-09-01,171.18
2019-09-02,178.88
2019-09-03,179.83
2019-09-04,174.8
2019-09-05,174.59
2019-09-06,169.36
2019-09-07,183.28
2019-09-08,178.39
2019-09-09,182.55
2019-09-10,179.78
2019-09-11,177.98
2019-09-12,180.67
2019-09-13,180.53
2019-09-14,186.7
2019-09-15,194.05
2019-09-16,197.6
2019-09-17,211.23
2019-09-18,204.58
2019-09-19,204.58
2019-09-20,218.93
2019-09-21,209.2
2019-09-22,208.0
2019-09-23,201.11
2019-09-24,170.27
2019-09-25,168.54
2019-09-26,165.02
2019-09-27,174.95
2019-09-28,171.37
2019-09-29,168.58
2019-09-30,182.97
2019-10-01,176.06
2019-10-02,180.04
2019-10-03,180.04
2019-10-04,175.94
2019-10-05,175.05
2019-10-06,172.14
2019-10-07,182.66
2019-10-08,179.89
